feature,mean_abs_shap
InternetChannel,1.2042260032039664
Hebrew_prof,0.9107378815517269
YearSurvey,0.4048079860905634
Education,0.29657051468391626
Age,0.24478396666314534
Occupation,0.22442811539026006
AreaLiving,0.19912554939246385
Gender,0.15409685625127884
Religion,0.088574278
Religiosity,0.055631334
